        Serial no.          Change Request # Target\nDate  Ready for Promotion                                                                               Attachment             EAP Attachment/\nEAP included? (Y/N)                                                                                                                                                                                                                                                                                                               Description  Version Urgency Classification     Weblogic Cluster                                                                                                                            EAR file Datasource Team   Requested by                                                          Remarks EAP (PROD)  VH3 CORP HKEC Unnamed: 20 Unnamed: 21 Unnamed: 22 Unnamed: 23 Unnamed: 24 HKWC Unnamed: 26 Unnamed: 27 Unnamed: 28 Unnamed: 29 Unnamed: 30 Unnamed: 31 Unnamed: 32  KCC Unnamed: 34 Unnamed: 35 Unnamed: 36 Unnamed: 37 Unnamed: 38 Unnamed: 39 Unnamed: 40  KEC Unnamed: 42 Unnamed: 43  KWC Unnamed: 45 Unnamed: 46 Unnamed: 47 Unnamed: 48 NTEC Unnamed: 50 Unnamed: 51 Unnamed: 52 Unnamed: 53 Unnamed: 54 Unnamed: 55 NTWC Unnamed: 57 Unnamed: 58 Unnamed: 59 Unnamed: 60 Unnamed: 61 Unnamed: 62
392  PPM2021_14001                    GCD-86          NaN  2021-09-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0550                                              NaN                                                                                                                                                                                                                                                           GCD-86: [GCD] filter the non-reportable lab data in STROKE form  2021-14      BW     Bi-weeking                  NaN                                                                                                                                 NaN        NaN  CS3      Henry LAM                                                              NaN        NaT  NaN  NaN  NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaT
393  PPM2021_14002                  GCRS-206          NaN  2021-09-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0491    ..\EAP\Forms\EAP_CmstertCorpGcr_21_14002.xlsx                                                                                                                                                                                                                                                             GCRS-206: [GCRS] Update Api gateway for 12c (CQMS webservice)  2021-14      BW     Bi-weeking    CmstertCorpGcrPrd                                                                                                                                 NaN        NaN  CS1    Billy LEUNG                                                            [API]        NaT  NaN  NaN  NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaT
394  PPM2021_14003                 LETTER-67          NaN  2021-09-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0576  ..\EAP\Forms\EAP_CmsmiscCorpMisch_21_14003.xlsx                                                                                                                                                                                                                                                                       LETTER-67: [LETTER] Update HA Go banner description  2021-14      BW     Bi-weeking  CmsmiscCorpMischPrd                                                                                                                                 NaN        NaN  CS3  Springo CHUNG                                                              NaN        NaT  NaN  NaN  NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaT
395  PPM2021_14004                   AIRPL-7          NaN  2021-09-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0588     ..\EAP\Forms\EAP_CmspriCorpPsp_21_14004.xlsx                                                                                                                                                                                                                          AIRPL-7: [AIRPL] Enhance AI Result Patient List to separate AI results display in multiple lines  2021-14      BW     Bi-weeking     CmspriCorpPspPrd                                                                                                                                 NaN        NaN  CD2    Billy LEUNG                                          All hospitals with A&E.        NaT  NaN  NaN  NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaT
396  PPM2021_14005                  GCRS-240          NaN  2021-09-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0600                                              NaN                                                                                                                                                                                                                                                      GCRS-240: [GCRS] To update the prviate radiology centre list in GCRS  2021-14      BW     Bi-weeking                  NaN                                                                                                                                 NaN        NaN  CS1      Mabel LAU  Hospitals implemented the GCR-Private (Non-HA) radiology module        NaT  NaN  NaN  NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaT
397  PPM2021_14006                    VTS-24          NaN  2021-09-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0590                                                Y                                                                                                                                                                                                                                       VTS-24: [VTS] To improve e-Vital chart zoom in/out and timeline scrolling features.  2021-14      BW     Bi-weeking  CmsmiscCorpMiscgPrd                                                                   CMS_VTS_BACKEND_APP_2_3_0 2.3.0, CMS_VTS_CHARTENQ_APP_2_3_0 2.3.0        NaN  CS5      Kathy LEE                                                [EAP 12c rollout]        NaT  NaN  NaN  NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaT
398  PPM2021_14007  ECONSENT-53, ECONSENT-46          NaN  2021-09-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0614  ..\EAP\Forms\EAP_CmsmiscCorpMisca_21_14007.xlsx                                                                                                                                                                                         ECONSENT-53: [ECONSENT] Provide web service for CDVR report\nECONSENT-46: [ECONSENT] Support additional anaesthesia consent data   2021-14      BW     Bi-weeking  CmsmiscCorpMiscaPrd                                                                                                    CMS_CMS_ECONSENT_APP_2_0_3 2.0.3        NaN  CS1    Tin Wu WONG                                                [EAP 12c rollout]        NaT  NaN  NaN  NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaT
399  PPM2021_14008                   SPIO-19          NaN  2021-09-15 00:00:00                                                      ..\Forms\2021\BW\PPM2021_14008.xlsx                                                Y                                                                                                                                                              SPIO-19: [CMS - Standard Patient Information Object] Change AI CXR indicator to AI indicator and add new status to indicate AI prediction still in progress   2021-14      BW     Bi-weeking     CmsCorpCommonPrd                                                                                                                cms-app-10.28.0.ear         NaN  EA2      Ricky Yau                                                              NaN        NaT  NaN  NaN  NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaT
400  PPM2021_14009      IPMOE-184, IPMOE-186          NaN  2021-09-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0608                                                Y                                                                                                                                              IPMOE-184: [IPMOE] New icon on MAR for Home Leave record\nIPMOE-186: [IPMOE] Prefill weekly/ monthly option for schedule recurrence pattern when create custom schedule rule  2021-14      BW     Bi-weeking  CmstertCorpIpmoePrd  CMS_IPMOE_SCHEDULER_APP 3.2.0, CMS_IPMOE_MSG_APP_3_4_1 3.4.1, CMS_IPMOE_MSGUTIL_APP_3_4_2 3.4.2 , CMS_MOE_IPMOE_APP_3_12_0 3.12.0         NaN  CS6      Eddie LIN                                                [EAP 12c rollout]        NaT  NaN  NaN  NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaT
401  PPM2021_14010                 OPMOE-121          NaN  2021-09-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0609                                                Y                                                                                                                                                                                                                                                                              OPMOE-121: [OPMOE] Medication Genie in OPMOE  2021-14      BW     Bi-weeking    CmstertCorpMoePrd                                                                   CMS_MOE_CMSAF_APP_3_2_3 3.2.3, CMS_MOE_WEBSERVICE_APP_4_0_7 4.0.7        NaN  CS1      Sharan HO                                                [EAP 12c rollout]        NaT  NaN  NaN  NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaN  NaN         NaN         NaN         NaN         NaN         NaN         NaT
