        Serial no.                      Change Request #                                                                                  Target Date  Ready for Promotion                                                                               Attachment           EAP Attachment/\nEAP included? (Y/N)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Description     Version Urgency Classification   Weblogic Cluster  EAR file  Datasource  Team   Requested by                                                                                                                                                                                                                                                                                                  Remarks EAP (PROD)  VH3 CORP                 HKEC          Unnamed: 20          Unnamed: 21          Unnamed: 22          Unnamed: 23          Unnamed: 24                 HKWC          Unnamed: 26          Unnamed: 27          Unnamed: 28          Unnamed: 29          Unnamed: 30          Unnamed: 31          Unnamed: 32                  KCC          Unnamed: 34          Unnamed: 35          Unnamed: 36          Unnamed: 37          Unnamed: 38          Unnamed: 39          Unnamed: 40                  KEC          Unnamed: 42          Unnamed: 43                  KWC          Unnamed: 45          Unnamed: 46          Unnamed: 47          Unnamed: 48                 NTEC          Unnamed: 50          Unnamed: 51          Unnamed: 52          Unnamed: 53          Unnamed: 54          Unnamed: 55                 NTWC          Unnamed: 57          Unnamed: 58          Unnamed: 59          Unnamed: 60 Unnamed: 61
52   PPM2021_S0052          CORPALERT-114, CORPALERT-115                                                                          March 1, 2021 18:30  2021-03-01 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0052.xlsx                                            NaN  CORPALERT-114: [Corp Allergy] As the "Display Name" and/or "Salt/Special Property" of DIPH32 will be changed in PHS, please amend the "Display Name" and/or "Salt/Special Property" of the affected allergy and/or ADR records under CMS Corp. Allergy/ Alert function on the same date according to the conversion defined in the attachment.                  \nCORPALERT-115: [Corp Allergy] As the "Display Name" and/or "Salt/Special Property" of POVI11 will be changed in PHS, please amend the "Display Name" and/or "Salt/Special Property" of the affected allergy and/or ADR records under CMS Corp. Allergy/ Alert function on the same date according to the conversion defined in the attachment.         \n         \n  2021-S0052      SV        Service                NaN       NaN         NaN   CS1     Ka Fu Wong                                                                                                                                                                                                                                                                      All Hospitals / March 1, 2021 18:30        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
53   PPM2021_S0053                                CCM-36                                                                                  01-Mar-2021  2021-03-01 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0060                                            NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   CCM-36: [CCM] To enable task filter in timeline for all cancer groups  2021-S0053      SV        Service                NaN       NaN         NaN   CS3      Henry LAM                                                                                                                                                                                                                                                                                        ALL / 01-Mar-2021        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
54   PPM2021_S0054                    MVTS-113, MVTS-114                                                                                  10 Mar 2021  2021-03-03 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0054.xlsx                                            NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      MVTS-113: [MVTS] To set up Vital Signs application in NDH and setup frequencies of vital signs ordering for NDH 3B ward.         \nMVTS-114: [MVTS] To provide common ward sets with default frequency for NDH 3B ward (ward code: 3B).         \n  2021-S0054      SV        Service                NaN       NaN         NaN   CS5    Tommy LEUNG                                                                                                                                                                                                                                                                                 Target date: 10 Mar 2021        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
55   PPM2021_S0055                              MCAF-318                                                                            03 Mar 2021 18:30  2021-03-03 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0055.xlsx   ..\EAP\Forms\EAP_CmsCorpMobile_21_S0055.xlsx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  MCAF-318: [MCAF] To upload the below clinical suite app to Clinical Suite App Store:\n1. Maintenance 1.2 (03/03/2021 18:30, Optional till 17/03/2021) \n2. IPMOE Hx 1.14 (03/03/2021 18:30, Optional till 17/03/2021)   2021-S0055      SV        Service   CmsCorpMobilePrd       NaN         NaN   CS5    Tommy LEUNG                                                                                                                                                                                   Target effective date: 03 Mar 2021 18:30 (To facilitate the release of Maintenance and IPMOE Hx on 03 Mar 2021 18:30)         NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
56   PPM2021_S0056                            RPTSCRN-50                                                                                   13-03-2021  2021-03-03 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0102                                            NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               RPTSCRN-50: [RPTSCRN]truncate tables for house keep Result Screening data  2021-S0056      SV        Service                NaN       NaN         NaN   CS3     David CHAN                                                                                                                                                                                                                                                                ALL Hospital, execute during Mar-2021 CMW        NaT  NaN  NaN  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-16 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00  2021-03-14 00:00:00         NaN
57   PPM2021_S0057                           CMSLOGON-60                                                                     On or before 11-Mar-2021  2021-03-04 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0057.xlsx                                            NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           CMSLOGON-60: [User Admin] To setup the "User Profile Maintenance" for Mobile Nursing Note app  2021-S0057      SV        Service                NaN       NaN         NaN   EA2      Ricky Yau                                                                                                                                                                                                                                                                           ALL / On or before 11-Mar-2021        NaT  NaN  NaN  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00         NaN
58   PPM2021_S0058                              GCRS-196                                                                                  11-Mar-2021  2021-03-04 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0058.xlsx                                            NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     GCRS-196: [GCRS] update GCRS-NBS Master List to v1.4: \nAdd new test "Newborn screening for SCID"\n  2021-S0058      SV        Service                NaN       NaN         NaN   CS1      Mabel LAU                                                                                                                                                                                                  Please ignore this promotion if your supporting hospitals not using GCR-NBS module. [All (11-Mar-2021)]        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
59   PPM2021_S0059                            CMSMENU-37                                                                   On or before 12-March-2021  2021-03-04 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0059.xlsx                                            NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         CMSMENU-37: [CMS - Menu Bar] To incorporate access to DPMS under the “Other System” menu in CMS  2021-S0059      SV        Service                NaN       NaN         NaN   EA2      Ricky Yau                                                                                                                                                                                                                                                                         ALL / On or before 12-March-2021        NaT  NaN  NaN  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00  2021-03-12 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
60   PPM2021_S0060                              MCAF-319                                                                            04 Mar 2021 18:30  2021-03-04 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0060.xlsx   ..\EAP\Forms\EAP_CmsCorpMobile_21_S0060.xlsx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         MCAF-319: [MCAF] To upload the below clinical suite app to Clinical Suite App Store:\n1. PAcF 1.4 (04/03/2021 18:30, Optional till 18/03/2021)   2021-S0060      SV        Service   CmsCorpMobilePrd       NaN         NaN   CS5    Tommy LEUNG                                                                                                                                                                                                                               04 Mar 2021 18:30 (To facilitate the release of PAcF on 04 Mar 2021 18:30)        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
61   PPM2021_S0061  CMSMENU-34, CMSLOGON-56, CMSLOGON-57                                                                   On or before 15-March-2021  2021-03-04 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0061.xlsx                                            NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                CMSMENU-34: [CMS - Menu Bar] Create new menu item for CAR-T Cell Therapy Referral Form\nCMSLOGON-56: [User Admin] Add security bits for CAR-T Cell Therapy Recruitment\nCMSLOGON-57: [User Admin] Add security bits for CAR-T Cell Therapy Referral Form  2021-S0061      SV        Service                NaN       NaN         NaN   EA2      Ricky Yau                                                                                                                                                                                                                                                                         ALL / On or before 15-March-2021        NaT  NaN  NaN  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-10 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-11 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00  2021-03-04 00:00:00         NaN
62   PPM2021_S0062                               MDS-101                                                                                   8 Mar 2021  2021-03-05 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0115                                            NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          MDS-101: [MDS] Update on the DDI customization rules (From level 2 to Level 1)  2021-S0062      SV        Service                NaN       NaN         NaN   CS1      Karen Lam                                                                                                                                                                                                                                                                                          ALL/ 8 Mar 2021        NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
63   PPM2021_S0063                             IPMOE-204                                                                                     on 9 Mar  2021-03-08 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0121                                            NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           IPMOE-204: [IPMOE] Update forwarder records of IPMOE for weblogic 12c migration(with 2021-03)  2021-S0063      SV        Service                NaN       NaN         NaN   CS6   Desmond CHOW                                                                       HHH(on 9 Mar), Other hospitals(follow schedule of 2021-03), Please promote in the same batch with IPMOE-192 (PPM2021_17025), Please promote after IPMOE-216 (PPM2021_U0058), IPMOE-141 (PPM2021_03011), IPMOE-207 (PPM2021_01036)         NaT  NaN  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN  2021-04-17 00:00:00  2021-03-26 00:00:00  2021-03-26 00:00:00  2021-03-26 00:00:00  2021-04-14 00:00:00  2021-04-14 00:00:00  2021-03-26 00:00:00  2021-03-26 00:00:00  2021-03-26 00:00:00  2021-04-14 00:00:00  2021-03-16 00:00:00  2021-05-27 00:00:00  2021-05-27 00:00:00  2021-05-27 00:00:00  2021-05-27 00:00:00  2021-05-27 00:00:00  2021-04-17 00:00:00  2021-04-17 00:00:00  2021-04-17 00:00:00  2021-04-16 00:00:00  2021-04-17 00:00:00  2021-04-16 00:00:00  2021-04-17 00:00:00  2021-04-14 00:00:00  2021-04-14 00:00:00  2021-04-13 00:00:00  2021-04-13 00:00:00  2021-04-14 00:00:00         NaN
