        Serial no.                                            Change Request #                                                                                                                                                          Target\nDate  Ready for Promotion                                                                               Attachment                   EAP Attachment/\nEAP included? (Y/N)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Description     Version Urgency Classification           Weblogic Cluster  EAR file  Datasource  Team     Requested by                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Remarks EAP (PROD)  VH3                 CORP                 HKEC          Unnamed: 20          Unnamed: 21          Unnamed: 22          Unnamed: 23          Unnamed: 24                 HKWC          Unnamed: 26          Unnamed: 27          Unnamed: 28          Unnamed: 29          Unnamed: 30          Unnamed: 31          Unnamed: 32                  KCC          Unnamed: 34          Unnamed: 35          Unnamed: 36          Unnamed: 37          Unnamed: 38          Unnamed: 39          Unnamed: 40                  KEC          Unnamed: 42          Unnamed: 43                  KWC          Unnamed: 45          Unnamed: 46          Unnamed: 47          Unnamed: 48                 NTEC          Unnamed: 50          Unnamed: 51          Unnamed: 52          Unnamed: 53          Unnamed: 54          Unnamed: 55                 NTWC          Unnamed: 57          Unnamed: 58          Unnamed: 59          Unnamed: 60 Unnamed: 61
1    PPM2021_S0001                                                    MCAF-294                                                                                                                                                     07 Jan 2021 18:30  2021-01-07 00:00:00                                                      ..\Forms\2021\BW\PPM2021_S0001.xlsx           ..\EAP\Forms\EAP_CmsCorpMobile_21_S0001.xlsx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                MCAF-294: [MCAF] To upload the below clinical suite app to Clinical Suite App Store:\n1. App Home 1.36 (07/01/2021 18:30,Optional till 21/01/2021)  2021-S0001      SV        Service           CmsCorpMobilePrd       NaN         NaN   CS5          Tim CHU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Target effective date: 07 Jan 2021 18:30 (To facilitate the release of App Home on 07 Jan 2021 18:30) 2021-01-07  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
2    PPM2021_S0002                                                      MPL-84                                                                                                                                         10 Jan-2021 01:00AM – 01:30AM  2021-01-07 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0002.xlsx                                                    NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          MPL-84: [MPL] HKCTT monthly maintenance for Jan 2021 CMW  2021-S0002      SV        Service                        NaN       NaN         NaN   CS4        Wilson YU                                                                                                                                                                                                                                                                                                                                                                                                              For CORP IMP:  Please apply this during CMW:  10 Jan-2021 01:00AM – 01:30AM, For IP IMP:  Please execute the Servlet or BCP command during:  10 Jan-2021 06:00AM – 07:00AM (Before the clinic opening hour), Please promote in the same batch and before CDF-108 (PPM2021_S0003)        NaT  NaN                  NaN  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00                  NaN  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00  2021-01-10 00:00:00         NaN
3    PPM2021_S0003                                                     CDF-108                                                                                                                                         10 Jan-2021 01:00AM – 01:30AM  2021-01-07 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0003.xlsx                                                    NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    CDF-108: [CDF] [CMW] CDF amendment in Jan 2021  2021-S0003      SV        Service                        NaN       NaN         NaN   CS4        Wilson YU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                For CORP IMP: Please apply:  10 Jan-2021 01:00AM – 01:30AM (Please promote in the same batch and after MPL-84 (PPM2021_S0002))        NaT  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
4    PPM2021_S0004                                                 CMSLOGON-55                                                                                                                                              On or before 20-Jan-2021  2021-01-11 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0004.xlsx                                                    NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 CMSLOGON-55: [User Admin] To create mobile app access option for Collect Specimen  2021-S0004      SV        Service                        NaN       NaN         NaN   EA2        Ricky Yau                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ALL / On or before 20-Jan-2021        NaT  NaN                  NaN  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-18 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-14 00:00:00  2021-01-14 00:00:00  2021-01-14 00:00:00  2021-01-14 00:00:00  2021-01-14 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00  2021-01-12 00:00:00         NaN
5    PPM2021_S0005                                                    MCAF-298                                                                                                                              Target effective date: 13 Jan 2021 18:30  2021-01-13 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0005.xlsx           ..\EAP\Forms\EAP_CmsCorpMobile_21_S0005.xlsx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [MCAF] - To upload the below clinical suite app to Clinical Suite App Store:\n1. Clinical Cam 1.26 (13/01/2021 18:30,Optional till 27/01/2021)  2021-S0005      SV        Service           CmsCorpMobilePrd       NaN         NaN   CS5          Tim CHU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Target effective date: 13 Jan 2021 18:30 (To facilitate the release of Clinical Cam  on 13 Jan 2021 18:30) 2021-01-13  NaN  2021-01-13 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
6    PPM2021_S0006                                                    MCAF-287                                                                                                                                    Target effective date: 18 Jan 2021  2021-01-13 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0006.xlsx                                                    NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [MCAF] - App registration and backend configuration setup for promotion of CollectSpecimen App in MCAF  2021-S0006      SV        Service                        NaN       NaN         NaN   CS5          Tim CHU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Target effective date: 18 Jan 2021 2021-01-18  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
7    PPM2021_S0007                                                    MCAF-282                                                                                                                               Target effective date:22 Jan 2021 18:30  2021-01-14 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0007.xlsx           ..\EAP\Forms\EAP_CmsCorpMobile_21_S0007.xlsx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [MCAF] - To upload the new version 8.2 Handbook of Internal Medicine at Mobile Clinical Suite tutorial page  2021-S0007      SV        Service           CmsCorpMobilePrd       NaN         NaN   CS5          Tim CHU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Target effective date:22 Jan 2021 18:30 2021-01-22  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
8    PPM2021_S0008                                                  TELECARE-6                                                                                                                                                         15 Jan 2021    2021-01-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0026                                                    NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     TELECARE-6: [TELECARE] Setup TeleHealth room for TKO live run  2021-S0008      SV        Service                        NaN       NaN         NaN   CS3        Henry LAM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        TKO only (15 Jan 2021)        NaT  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN  2021-01-18 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
9    PPM2021_S0009                                                      ORTS-5                                                                                                                                                           18 Jan 2021  2021-01-15 00:00:00  https://wfeng-svc/Runtime/Runtime/Form/CMS__Promotion__Form?formnumber=M-ITOCMS-21-0024                                                    NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ORTS-5: [ORTS] Rollout ORTS package for weblogic 12c migration  2021-S0009      SV        Service                        NaN       NaN         NaN   CS3   Nicholas YEUNG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           NaN        NaT  NaN                  NaN  2021-03-02 00:00:00  2021-03-02 00:00:00  2021-03-02 00:00:00  2021-03-02 00:00:00  2021-03-02 00:00:00  2021-03-02 00:00:00  2021-02-23 00:00:00  2021-02-23 00:00:00  2021-02-23 00:00:00  2021-01-27 00:00:00  2021-02-23 00:00:00                  NaN  2021-02-23 00:00:00  2021-02-23 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00  2021-02-28 00:00:00         NaN
10   PPM2021_S0010                                                    MCAF-302                                                                                                                                                     18 Jan 2021 18:30  2021-01-18 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0010.xlsx           ..\EAP\Forms\EAP_CmsCorpMobile_21_S0010.xlsx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [MCAF] - To upload the below clinical suite app to Clinical Suite App Store:\n1. Corp Allergy 2.5 (18/01/2021 18:30,Optional till 01/02/2021)\n2. Collect Specimen 1.0 (18/01/2021 18:30)  2021-S0010      SV        Service           CmsCorpMobilePrd       NaN         NaN   CS5          Tim CHU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Target effective date: 18 Jan 2021 18:30 (To facilitate the release of Corp Allergy & Collect Specimen on 18 Jan 2021 18:30) 2021-01-18  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
11   PPM2021_S0011                                                    MCAF-303                                                                                                                                                    19 Jan 2021 18:30   2021-01-19 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0011.xlsx           ..\EAP\Forms\EAP_CmsCorpMobile_21_S0011.xlsx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [MCAF] - To upload the below clinical suite app to Clinical Suite App Store:\n1. Bed Panel 1.8 (19/01/2021 18:30,Optional till 02/02/2021)\n2. Login 1.29 (19/01/2021 18:30,Optional till 02/02/2021)  2021-S0011      SV        Service           CmsCorpMobilePrd       NaN         NaN   CS5          Tim CHU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Target effective date: 19 Jan 2021 18:30 (To facilitate the release of Bed Panel & Login on 19 Jan 2021 18:30) 2021-01-19  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
12   PPM2021_S0012                                                   OPMOE-104                                                                                                                                            on or before 20th Jan 2021  2021-01-20 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0012.xlsx                                                    NaN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        OPMOE-104 - [OPMOE] Enable fail digital signed prescription report generation by batch job for TKO and QEH  2021-S0012      SV        Service                        NaN       NaN         NaN   CS1        Karen Lam                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   For TKO and QEH, please perform the promotion on or before 20th Jan 2021. For other hospitals, please ignore this promotion        NaT  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN  2021-01-20 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN  2021-01-20 00:00:00                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
13   PPM2021_S0013                                                    MCAF-305                                                                                                                                                     21 Jan 2021 18:30  2021-01-21 00:00:00                                                      ..\Forms\2021\SV\PPM2021_S0013.xlsx           ..\EAP\Forms\EAP_CmsCorpMobile_21_S0013.xlsx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [MCAF] - To upload the below clinical suite app to Clinical Suite App Store:\n1. Ix Request (21/01/2021 18:30,Optional till 04/02/2021)  2021-S0013      SV        Service           CmsCorpMobilePrd       NaN         NaN   CS5          Tim CHU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Target effective date: 21 Jan 2021 18:30 (To facilitate the release of IxRequest on 21 Jan 2021 18:30)        NaT  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN                  NaN         NaN
